*********************************************************
总结点个数:4546
总边数12319
*********************************************************
编号	节点	度
1362	YOR224c	4
1363	YLR071c	4
1364	YOR362c	4
1365	YDR164c	4
1366	YDR088c	4
1367	YPL232w	4
1368	YMR140w	4
1369	YER027c	4
1370	YDR473c	4
1371	YOR312c	4
1372	YNR071c	4
1373	YMR116c	4
1374	YGR049w	4
1375	YHR156c	4
1376	YPL151c	4
1377	YGR173w	4
1378	YAL034w-a	4
1379	YDR179c	4
1380	YGL048c	4
1381	YDL220c	4
1382	YPL204w	4
1383	YKL011c	4
1384	YIL039w	4
1385	YER099c	4
1386	YER008c	4
1387	YIL121w	4
1388	YDR022c	4
1389	YKL181w	4
1390	YLR396c	4
1391	YOL150c	4
1392	YLR352w	4
1393	YML107c	4
1394	YMR028w	4
1395	YHL019c	4
1396	YDR200c	4
1397	YDR479c	4
1398	YOL145c	4
1399	YDR364c	4
1400	YBR014c	4
1401	YDR307w	4
1402	YER110c	4
1403	YNL023c	4
1404	YGL095c	4
1405	YLR269c	4
1406	YMR298w	4
1407	YGR054w	4
1408	YLR124w	4
1409	YLR175w	4
1410	YER073w	4
1411	YOR314w	4
1412	YBR289w	4
1413	YDL042c	4
1414	YBR290w	4
1415	YPR193c	4
1416	YER136w	4
1417	YJL114w	4
1418	YHR186c	4
1419	YLR429w	4
1420	YKL042w	4
1421	YNL030w	4
1422	YPR168w	4
1423	YNL031c	4
1424	YDL028c	4
1425	YER143w	4
1426	YBR009c	4
1427	YKL093w	4
1428	YOR027w	4
1429	YDR321w	4
1430	YLR108c	4
1431	YLR350w	4
1432	YIL025c	4
1433	YAL054c	4
1434	YEL056w	4
1435	YDR382w	4
1436	YKL056c	4
1437	YDR120c	4
1438	YOR112w	4
1439	YIL104c	4
1440	YLR222c	4
1441	YNR003c	4
1442	YFR047c	4
1443	YGR238c	4
1444	YOR198c	4
1445	YOR190w	4
1446	YMR146c	4
1447	YEL023c	4
1448	YMR104c	4
1449	YHL045w	4
1450	YNL182c	4
1451	YPL083c	4
1452	YER158c	4
1453	YHL044w	4
1454	YIL110w	4
1455	YDR398w	4
1456	YDR026c	4
1457	YHR113w	4
1458	YGR205w	4
1459	YIL092w	4
1460	YGL116w	4
1461	YNL206c	4
1462	YDR308c	4
1463	YHL029c	4
1464	YCR095c	4
1465	YBR136w	4
1466	YOL044w	4
1467	YGL090w	4
1468	YLR322w	4
1469	YOL091w	4
1470	YPR072w	4
1471	YCL019w	4
1472	YDR261w-a	4
1473	YIL038c	4
1474	YJR056c	4
1475	YER145c	4
1476	YCR093w	4
1477	YNL082w	4
1478	YNL020c	4
1479	YAR035w	4
1480	YEL002c	4
1481	YLR265c	4
1482	YOR157c	4
1483	YOR239w	4
1484	YOL020w	4
1485	YKR010c	4
1486	YLR083c	4
1487	YBL079w	4
1488	YIL026c	4
1489	YNL016w	4
1490	YDL214c	4
1491	YMR077c	4
1492	YMR232w	4
1493	YDL233w	4
1494	YBL078c	4
1495	YLR417w	4
1496	YGL104c	4
1497	YLR064w	4
1498	YOR038c	4
1499	YER096w	4
1500	YIL154c	4
1501	YDL195w	4
1502	YER115c	4
1503	YNL151c	4
1504	YKR022c	4
1505	YCR076c	4
1506	YBL014c	4
1507	YNL214w	4
1508	YKL176c	4
1509	YHR193c	4
1510	YHR084w	4
1511	YHR168w	4
1512	YOR204w	4
1513	YLR006c	4
1514	YJR045c	4
1515	YOR033c	4
1516	YGL058w	4
1517	YDR408c	4
1518	YGL097w	4
1519	YGL081w	4
1520	YHR034c	4
1521	YFL021w	4
1522	YBL053w	4
1523	YOL129w	4
1524	YFL034c-b	4
1525	YEL009c	4
1526	YMR009w	4
1527	YGL054c	4
1528	YLR059c	4
1529	YML099c	4
1530	YCL043c	4
1531	YLR339c	4
1532	YPL002c	4
1533	YOR348c	4
1534	YEL064c	4
1535	YDL208w	4
1536	YDL113c	4
1537	YDR256c	4
1538	YLL050c	4
1539	YMR202w	4
1540	YOR060c	4
1541	YDL175c	4
1542	YMR020w	4
1543	YMR035w	4
1544	YGL230c	4
1545	YEL060c	4
1546	YMR322c	4
1547	YDL014w	4
1548	YLR090w	4
1549	YDR166c	4
1550	YBL045c	4
1551	YDR087c	4
1552	YDL224c	4
1553	YCL056c	4
1554	YGL185c	4
1555	YMR129w	4
1556	YOR037w	4
1557	YGR057c	4
1558	YGL016w	4
1559	YGL201c	4
1560	YLR128w	4
1561	YLR372w	4
1562	YBL042c	4
1563	YNL299w	4
1564	YIR003w	4
1565	YNL264c	4
1566	YGL003c	4
1567	YOR017w	4
1568	YJR133w	4
1569	YLR374c	4
1570	YCL067c	4
1571	YFR004w	4
1572	YLR432w	4
1573	YPR048w	4
1574	YPL042c	4
1575	YJL054w	4
1576	YOR380w	4
1577	YPL249c	4
1578	YBL034c	4
1579	YPR172w	4
1580	YPR180w	4
1581	YPR184w	4
1582	YJR011c	3
1583	YML105c	3
1584	YJL137c	3
1585	YOR010c	3
1586	YNL062c	3
1587	YPR033c	3
1588	YOL001w	3
1589	YBR197c	3
1590	YFR045w	3
1591	YBR073w	3
1592	YNR037c	3
1593	YJL100w	3
1594	YJR009c	3
1595	YNL231c	3
1596	YKR021w	3
1597	YGR033c	3
1598	YNR050c	3
1599	YKL204w	3
1600	YJR103w	3
1601	YBR021w	3
1602	YBL100w-a	3
1603	YJR072c	3
1604	YOR147w	3
1605	YCR012w	3
1606	YPR096c	3
1607	YIL048w	3
1608	YFR003c	3
1609	YKL160w	3
1610	YJR131w	3
1611	YML061c	3
1612	YOL075c	3
1613	YER025w	3
1614	YOR310c	3
1615	YCR021c	3
1616	YHR056c	3
1617	YDL215c	3
1618	YOR350c	3
1619	YKL106w	3
1620	YBR074w	3
1621	YPR152c	3
1622	YMR095c	3
1623	YCL051w	3
1624	YGL037c	3
1625	YFL060c	3
1626	YBR076w	3
1627	YFL042c	3
1628	YCR031c	3
1629	YGL040c	3
1630	YPL208w	3
1631	YNL021w	3
1632	YIL141w	3
1633	YBR079c	3
1634	YGR104c	3
1635	YDR059c	3
1636	YBL049w	3
1637	YIL151c	3
1638	YMR172w	3
1639	YHR119w	3
1640	YCR039c	3
1641	YGR004w	3
1642	YBR088c	3
1643	YBR187w	3
1644	YKL212w	3
1645	YGR237c	3
1646	YIL150c	3
1647	YGR080w	3
1648	YNL013c	3
1649	YJL078c	3
1650	YLR037c	3
1651	YOR245c	3
1652	YKL109w	3
1653	YNR019w	3
1654	YDR285w	3
1655	YBR185c	3
1656	YDR516c	3
1657	YNL202w	3
1658	YCL038c	3
1659	YPL165c	3
1660	YLR172c	3
1661	YCR057c	3
1662	YJL143w	3
1663	YPL094c	3
1664	YCR059c	3
1665	YOR217w	3
1666	YLR243w	3
1667	YJL179w	3
1668	YKL036c	3
1669	YGR079w	3
1670	YEL069c	3
1671	YJL057c	3
1672	YDR071c	3
1673	YJL048c	3
1674	YCR072c	3
1675	YIL169c	3
1676	YCR073c	3
1677	YBR201w	3
1678	YCL031c	3
1679	YGL105w	3
1680	YFL013c	3
1681	YML043c	3
1682	YBL063w	3
1683	YPL195w	3
1684	YGR117c	3
1685	YPL088w	3
1686	YHL003c	3
1687	YJL006c	3
1688	YNL261w	3
1689	YGL031c	3
1690	YMR002w	3
1691	YOR334w	3
1692	YJR010c-a	3
1693	YNR005c	3
1694	YMR253c	3
1695	YIR022w	3
1696	YGL245w	3
1697	YCR081w	3
1698	YEL032w	3
1699	YCR040w	3
1700	YCL066w	3
1701	YKR101w	3
1702	YGL106w	3
1703	YLR301w	3
1704	YKL052c	3
1705	YNL223w	3
1706	YLR285w	3
1707	YNL036w	3
1708	YGR155w	3
1709	YKL067w	3
1710	YCR106w	3
1711	YHR177w	3
1712	YCR048w	3
1713	YOR281c	3
1714	YBR174c	3
1715	YGR112w	3
1716	YBL082c	3
1717	YOR220w	3
1718	YKL174c	3
1719	YBL083c	3
1720	YBR173c	3
1721	YCR092c	3
1722	YKR069w	3
1723	YDR085c	3
1724	YOR001w	3
1725	YCL020w	3
1726	YOL030w	3
1727	YER068w	3
1728	YDR261w-b	3
1729	YJR040w	3
1730	YLR240w	3
1731	YLR440c	3
1732	YBL089w	3
1733	YLR325c	3
1734	YAR031w	3
1735	YOR082c	3
1736	YNL308c	3
1737	YJL184w	3
1738	YFR028c	3
1739	YNR040w	3
1740	YGL157w	3
1741	YHR148w	3
1742	YMR071c	3
1743	YJL125c	3
1744	YKL183w	3
1745	YLR009w	3
1746	YJL096w	3
1747	YOR114w	3
1748	YHL021c	3
1749	YDL133w	3
1750	YLR054c	3
1751	YDL126c	3
1752	YOL151w	3
1753	YIL068c	3
1754	YBR067c	3
1755	YDR195w	3
1756	YIL053w	3
1757	YMR059w	3
1758	YPL022w	3
1759	YNL312w	3
1760	YDL230w	3
1761	YIL147c	3
1762	YDR140w	3
1763	YMR173w	3
1764	YBR166c	3
1765	YOR247w	3
1766	YJR042w	3
1767	YGR068c	3
1768	YOL067c	3
1769	YIL023c	3
1770	YNR017w	3
1771	YIL002c	3
1772	YHR130c	3
1773	YGR222w	3
1774	YJL065c	3
1775	YOL143c	3
1776	YML062c	3
1777	YAL064w	3
1778	YOL011w	3
1779	YLL016w	3
1780	YGL023c	3
1781	YNL293w	3
1782	YLR318w	3
1783	YMR274c	3
1784	YLR153c	3
1785	YMR102c	3
1786	YOR353c	3
1787	YLR049c	3
1788	YHR190w	3
1789	YCL009c	3
1790	YKL137w	3
1791	YGR280c	3
1792	YLR058c	3
1793	YCR084c	3
1794	YJL166w	3
1795	YNL169c	3
1796	YHR187w	3
1797	YPL196w	3
1798	YOR124c	3
1799	YIL075c	3
1800	YJL001w	3
1801	YOR034c	3
1802	YPL214c	3
1803	YBR010w	3
1804	YBR302c	3
1805	YHR188c	3
1806	YBR296c	3
1807	YGL151w	3
1808	YLR249w	3
1809	YJL113w	3
1810	YOR351c	3
1811	YML049c	3
1812	YML104c	3
1813	YNL227c	3
1814	YMR275c	3
1815	YNL277w	3
1816	YPL268w	3
1817	YHR003c	3
1818	YER119c	3
1819	YBR120c	3
1820	YIR002c	3
1821	YPL129w	3
1822	YMR206w	3
1823	YBR012w-b	3
1824	YOL003c	3
1825	YLR094c	3
1826	YNL252c	3
1827	YDR202c	3
1828	YNL066w	3
1829	YBR216c	3
1830	YHR174w	3
1831	YGR261c	3
1832	YJR138w	3
1833	YMR302c	3
1834	YJL097w	3
1835	YLR286c	3
1836	YLR206w	3
1837	YKL080w	3
1838	YGR056w	3
1839	YGR292w	3
1840	YPR156c	3
1841	YGR263c	3
1842	YLR148w	3
1843	YKL075c	3
1844	YOL105c	3
1845	YKL092c	3
1846	YDR329c	3
1847	YBR284w	3
1848	YGR064w	3
1849	YML100w	3
1850	YGR159c	3
1851	YER100w	3
1852	YMR261c	3
1853	YGR214w	3
1854	YHR022c	3
1855	YGR187c	3
1856	YGL154c	3
1857	YBR281c	3
1858	YAL038w	3
1859	YER065c	3
1860	YGR250c	3
1861	YNL117w	3
1862	YDR152w	3
1863	YGL171w	3
1864	YOR155c	3
1865	YLR241w	3
1866	YPR175w	3
1867	YPR197c	3
1868	YER126c	3
1869	YER082c	3
1870	YML051w	3
1871	YAL035w	3
1872	YHR216w	3
1873	YNL260c	3
1874	YER140w	3
1875	YKL173w	3
1876	YPR016c	3
1877	YPL045w	3
1878	YDL058w	3
1879	YLR196w	3
1880	YDL059c	3
1881	YDL223c	3
1882	YMR266w	3
1883	YJL086c	3
1884	YPL229w	3
1885	YGL174w	3
1886	YDL063c	3
1887	YBR024w	3
1888	YLL009c	3
1889	YHR149c	3
1890	YKL127w	3
1891	YLR063w	3
1892	YNL018c	3
1893	YNL054w-b	3
1894	YLR204w	3
1895	YLR151c	3
1896	YML108w	3
1897	YBR162w-a	3
1898	YIL108w	3
1899	YGR240c	3
1900	YGL075c	3
1901	YLR399c	3
1902	YPL146c	3
1903	YBR192w	3
1904	YNR041c	3
1905	YMR267w	3
1906	YLR239c	3
1907	YGR269w	3
1908	YAL025c	3
1909	YNL004w	3
1910	YER102w	3
1911	YOR046c	3
1912	YMR152w	3
1913	YDR249c	3
1914	YER017c	3
1915	YNR068c	3
1916	YPL013c	3
1917	YCR107w	3
1918	YGR165w	3
1919	YMR246w	3
1920	YPL222w	3
1921	YLR057w	3
1922	YBR265w	3
1923	YOR229w	3
1924	YGR196c	3
1925	YHR008c	3
1926	YAL019w	3
1927	YMR003w	3
1928	YHR123w	3
1929	YGR139w	3
1930	YOR257w	3
1931	YBR042c	3
1932	YMR112c	3
1933	YML069w	3
1934	YKL141w	3
1935	YDR233c	3
1936	YPL144w	3
1937	YGL215w	3
1938	YJR048w	3
1939	YML047c	3
1940	YKL019w	3
1941	YBR249c	3
1942	YDR499w	3
1943	YFL027c	3
1944	YGL225w	3
1945	YPL032c	3
1946	YDR025w	3
1947	YER066w	3
1948	YGL238w	3
1949	YDL096c	3
1950	YGL242c	3
1951	YGL149w	3
1952	YGR192c	3
1953	YKL050c	3
1954	YML102w	3
1955	YDR450w	3
1956	YHR215w	3
1957	YDR415c	3
1958	YPL073c	3
1959	YJL084c	3
1960	YGR189c	3
1961	YER139c	3
1962	YLR297w	3
1963	YDL080c	3
1964	YHR180w	3
1965	YPL133c	3
1966	YBR239c	3
1967	YMR183c	3
1968	YBR050c	3
1969	YOR080w	3
1970	YHR098c	3
1971	YMR056c	3
1972	YER156c	3
1973	YLR121c	3
1974	YGR208w	3
1975	YER051w	3
1976	YDR032c	3
1977	YDL101c	3
1978	YNL090w	3
1979	YKL177w	3
1980	YJR006w	3
1981	YKL081w	3
1982	YAL003w	3
1983	YPR020w	3
1984	YML013w	3
1985	YBR054w	3
1986	YFR034c	3
1987	YJL015c	3
1988	YPL209c	3
1989	YBR037c	3
1990	YHR038w	3
1991	YHR185c	3
1992	YPL078c	3
1993	YHR035w	3
1994	YIL009w	3
1995	YLR465c	3
1996	YBR141c	3
1997	YOR078w	3
1998	YER045c	3
1999	YOR177c	3
2000	YDL114w	3
2001	YMR144w	3
2002	YOL009c	3
2003	YMR119w	3
2004	YOR184w	3
2005	YER039c	3
2006	YPL158c	3
2007	YML023c	3
2008	YPL034w	3
2009	YGL079w	3
2010	YDR357c	3
2011	YOL014w	3
2012	YJR005w	3
2013	YDR349c	3
2014	YHR167w	3
2015	YER048c	3
2016	YOR359w	3
2017	YGR207c	3
2018	YOL068c	3
2019	YLR002c	3
2020	YNL311c	3
2021	YER036c	3
2022	YML088w	3
2023	YJR089w	3
2024	YDR319c	3
2025	YGR018c	3
2026	YDR373w	3
2027	YLR053c	3
2028	YDR313c	3
2029	YOR320c	3
2030	YKL028w	3
2031	YJR108w	3
2032	YLR131c	3
2033	YDR385w	3
2034	YLR287c	3
2035	YOR292c	3
2036	YGL060w	3
2037	YIL131c	3
2038	YGL249w	3
2039	YLR100w	3
2040	YDR390c	3
2041	YDR268w	3
2042	YOR259c	3
2043	YOL070c	3
2044	YNL176c	3
2045	YGR066c	3
2046	YKL144c	3
2047	YGR151c	3
2048	YDR252w	3
2049	YJR050w	3
2050	YPR041w	3
2051	YGR059w	3
2052	YNL266w	3
2053	YDR218c	3
2054	YKR024c	3
2055	YLR030w	3
2056	YOR260w	3
2057	YLR459w	3
2058	YOL106w	3
2059	YJR094c	3
2060	YFL040w	3
2061	YML022w	3
2062	YNL301c	3
2063	YLR238w	3
2064	YDR452w	3
2065	YDR453c	3
2066	YNL221c	3
2067	YDR482c	3
2068	YNL235c	3
2069	YJR015w	3
2070	YOR276w	3
2071	YFR043c	3
2072	YGR086c	3
2073	YPL011c	3
2074	YDR498c	3
2075	YGR097w	3
2076	YFL033c	3
2077	YDR159w	3
2078	YER070w	3
2079	YGR160w	3
2080	YOR322c	3
2081	YDR503c	3
2082	YJR002w	3
2083	YER049w	3
2084	YDR132c	3
2085	YLL065w	3
2086	YNL244c	3
2087	YNR074c	3
2088	YMR211w	3
2089	YKL110c	3
2090	YPL076w	3
2091	YDR527w	3
2092	YLL020c	3
2093	YDR528w	3
2094	YIR040c	3
2095	YOL015w	3
2096	YDR533c	3
2097	YNL042w	3
2098	YJR122w	3
2099	YGL220w	3
2100	YDR098c	3
2101	YDR097c	3
2102	YLR192c	3
2103	YDR091c	3
2104	YGR232w	3
2105	YDR079w	3
2106	YLL007c	3
2107	YJR148w	3
2108	YDR069c	3
2109	YKL013c	3
2110	YDR063w	3
2111	YDL179w	3
2112	YDR060w	3
2113	YDR139c	3
2114	YIL128w	3
2115	YGL129c	3
2116	YPR164w	3
2117	YNL136w	3
2118	YJL011c	3
2119	YOL116w	3
2120	YMR187c	3
2121	YDL191w	3
2122	YJL185c	3
2123	YJL002c	3
2124	YGR130c	3
2125	YDL193w	3
2126	YIL145c	3
2127	YFR055w	3
2128	YDR456w	3
2129	YPR174c	3
2130	YDR438w	3
2131	YOL038w	3
2132	YNR011c	3
2133	YHR165c	3
2134	YKL009w	3
2135	YJL152w	3
2136	YOR242c	3
2137	YPL093w	3
2138	YMR072w	3
2139	YDR006c	3
2140	YDR005c	3
2141	YJR037w	3
2142	YKL192c	3
2143	YHR184w	3
2144	YOR206w	3
2145	YDL204w	3
2146	YNL002c	3
2147	YNR031c	3
2148	YDL206w	3
2149	YKR084c	3
2150	YPR183w	3
2151	YEL063c	3
2152	YMR284w	3
2153	YDR082w	3
2154	YNR058w	3
2155	YHR197w	3
2156	YDL210w	3
2157	YLR426w	3
2158	YJR126c	2
2159	YJL191w	2
2160	YCR024c	2
2161	YDR224c	2
2162	YMR075c-a	2
2163	YDL213c	2
2164	YCR016w	2
2165	YCR014c	2
2166	YDR154c	2
2167	YCR007c	2
2168	YPL245w	2
2169	YJL042w	2
2170	YCR005c	2
2171	YCR004c	2
2172	YOR209c	2
2173	YPL005w	2
2174	YHR072w-a	2
2175	YJL031c	2
2176	YMR106c	2
2177	YDR182w	2
2178	YOR024w	2
2179	YCL058c	2
2180	YNL196c	2
2181	YCL046w	2
2182	YER123w	2
2183	YCR046c	2
2184	YOR288c	2
2185	YPR113w	2
2186	YEL024w	2
2187	YDL229w	2
2188	YCR047c	2
2189	YNL209w	2
2190	YDR170c	2
2191	YPR008w	2
2192	YNL075w	2
2193	YNL058c	2
2194	YOL065c	2
2195	YGR070w	2
2196	YDL237w	2
2197	YPR148c	2
2198	YLR177w	2
2199	YDR273w	2
2200	YNL282w	2
2201	YCR073w-a	2
2202	YLR072w	2
2203	YCL025c	2
2204	YCL023c	2
2205	YHR189w	2
2206	YDR160w	2
2207	YCL018w	2
2208	YDL240w	2
2209	YCL017c	2
2210	YDL243c	2
2211	YPR036w	2
2212	YHL023c	2
2213	YDL139c	2
2214	YER164w	2
2215	YCL014w	2
2216	YCL011c	2
2217	YCL010c	2
2218	YLR270w	2
2219	YDR002w	2
2220	YER094c	2
2221	YER026c	2
2222	YJL023c	2
2223	YER009w	2
2224	YDL202w	2
2225	YCL004w	2
2226	YDR007w	2
2227	YDL216c	2
2228	YCL001w	2
2229	YBR301w	2
2230	YGL143c	2
2231	YDR123c	2
2232	YDR013w	2
2233	YOL146w	2
2234	YNR006w	2
2235	YDR323c	2
2236	YPL200w	2
2237	YBR286w	2
2238	YIL049w	2
2239	YGR161c-c	2
2240	YDR021w	2
2241	YBR285w	2
2242	YLR311c	2
2243	YBR283c	2
2244	YNL191w	2
2245	YBR277c	2
2246	YBR275c	2
2247	YJL029c	2
2248	YNR013c	2
2249	YEL034w	2
2250	YDR061w	2
2251	YJL005w	2
2252	YBR272c	2
2253	YJR121w	2
2254	YKL038w	2
2255	YBR271w	2
2256	YFL047w	2
2257	YHR094c	2
2258	YDR342c	2
2259	YLR276c	2
2260	YDR439w	2
2261	YDR345c	2
2262	YCR087w	2
2263	YER038c	2
2264	YOR370c	2
2265	YBR264c	2
2266	YML018c	2
2267	YJR116w	2
2268	YFR046c	2
2269	YDR376w	2
2270	YLL037w	2
2271	YNL012w	2
2272	YGL223c	2
2273	YGR111w	2
2274	YGR124w	2
2275	YBR250w	2
2276	YFL022c	2
2277	YEL047c	2
2278	YCR094w	2
2279	YCR098c	2
2280	YDR520c	2
2281	YBR233w	2
2282	YBR230c	2
2283	YDL188c	2
2284	YHR108w	2
2285	YPL114w	2
2286	YPL138c	2
2287	YHR101c	2
2288	YPR136c	2
2289	YGR203w	2
2290	YBR218c	2
2291	YDR380w	2
2292	YDR042c	2
2293	YLR413w	2
2294	YDR044w	2
2295	YDR045c	2
2296	YDL186w	2
2297	YLR031w	2
2298	YGR262c	2
2299	YIL059c	2
2300	YLL042c	2
2301	YGL150c	2
2302	YLR306w	2
2303	YBR209w	2
2304	YBR207w	2
2305	YDR056c	2
2306	YDL011c	2
2307	YGR134w	2
2308	YHR140w	2
2309	YGL239c	2
2310	YDL172c	2
2311	YDL178w	2
2312	YHR137w	2
2313	YDR068w	2
2314	YBR196c	2
2315	YNL183c	2
2316	YDL170w	2
2317	YDR070c	2
2318	YLL036c	2
2319	YBR184w	2
2320	YIL160c	2
2321	YHR062c	2
2322	YER019c-a	2
2323	YLR443w	2
2324	YDR075w	2
2325	YIL152w	2
2326	YBR167c	2
2327	YDL166c	2
2328	YPR155c	2
2329	YDR441c	2
2330	YKL145w	2
2331	YDR168w	2
2332	YER011w	2
2333	YOR341w	2
2334	YLR378c	2
2335	YGR006w	2
2336	YDL151c	2
2337	YGR099w	2
2338	YNR048w	2
2339	YGR075c	2
2340	YBR152w	2
2341	YDL164c	2
2342	YOR111w	2
2343	YGL071w	2
2344	YOR006c	2
2345	YDR018c	2
2346	YBR149w	2
2347	YIL070c	2
2348	YBR145w	2
2349	YDR102c	2
2350	YBR144c	2
2351	YOR381w	2
2352	YDR105c	2
2353	YER087w	2
2354	YKR042w	2
2355	YDL035c	2
2356	YJL071w	2
2357	YDL156w	2
2358	YBR128c	2
2359	YLR095c	2
2360	YDL041w	2
2361	YBR123c	2
2362	YLR223c	2
2363	YDR116c	2
2364	YBR117c	2
2365	YDR121w	2
2366	YJL076w	2
2367	YJR052w	2
2368	YEL027w	2
2369	YDR043c	2
2370	YBR106w	2
2371	YHR151c	2
2372	YPL026c	2
2373	YKR031c	2
2374	YDR131c	2
2375	YNR049c	2
2376	YOL112w	2
2377	YOR309c	2
2378	YDR128w	2
2379	YOR252w	2
2380	YPL136w	2
2381	YLR074c	2
2382	YDR130c	2
2383	YNL280c	2
2384	YLL062c	2
2385	YBR097w	2
2386	YDR133c	2
2387	YDR134c	2
2388	YNL125c	2
2389	YEL020w-a	2
2390	YLR390w	2
2391	YGL162w	2
2392	YDR409w	2
2393	YBR085w	2
2394	YKL043w	2
2395	YBR083w	2
2396	YDR177w	2
2397	YMR083w	2
2398	YKL010c	2
2399	YOL109w	2
2400	YOR133w	2
2401	YKR050w	2
2402	YNL237w	2
2403	YBR066c	2
2404	YBR064w	2
2405	YGR201c	2
2406	YER028c	2
2407	YDR461w	2
2408	YGR290w	2
2409	YPR019w	2
2410	YDR153c	2
2411	YML014w	2
2412	YKR105c	2
2413	YOL156w	2
2414	YER113c	2
2415	YDR505c	2
2416	YFR029w	2
2417	YOL132w	2
2418	YGL252c	2
2419	YGR118w	2
2420	YIL133c	2
2421	YOL113w	2
2422	YOL059w	2
2423	YGL192w	2
2424	YOR040w	2
2425	YER013w	2
2426	YFL001w	2
2427	YLL051c	2
2428	YIL129c	2
2429	YDR190c	2
2430	YBR048w	2
2431	YBR047w	2
2432	YLL041c	2
2433	YDL045c	2
2434	YOR250c	2
2435	YDR269c	2
2436	YKL148c	2
2437	YJL155c	2
2438	YBR043c	2
2439	YLL026w	2
2440	YBR041w	2
2441	YDR040c	2
2442	YPR104c	2
2443	YPR106w	2
2444	YDL046w	2
2445	YCL022c	2
2446	YJR080c	2
2447	YGR206w	2
2448	YLR065c	2
2449	YHL005c	2
2450	YDR297w	2
2451	YDR270w	2
2452	YMR316w	2
2453	YDL052c	2
2454	YDL015c	2
2455	YJR069c	2
2456	YDR432w	2
2457	YNL228w	2
2458	YBR033w	2
2459	YDL053c	2
2460	YDL054c	2
2461	YBR020w	2
2462	YBR019c	2
2463	YDL062w	2
2464	YHR083w	2
2465	YKL179c	2
2466	YOR087w	2
2467	YDL146w	2
2468	YPL131w	2
2469	YMR163c	2
2470	YBR006w	2
2471	YGL063w	2
2472	YNL155w	2
2473	YDL072c	2
2474	YDR214w	2
2475	YBR003w	2
2476	YDR215c	2
2477	YGR209c	2
2478	YML116w	2
2479	YDR017c	2
2480	YNL054w	2
2481	YDL084w	2
2482	YPR057w	2
2483	YBL104c	2
2484	YMR151w	2
2485	YKL005c	2
2486	YBL103c	2
2487	YJL162c	2
2488	YBL095w	2
2489	YDR226w	2
2490	YBL094c	2
2491	YLR442c	2
2492	YBL092w	2
2493	YPR049c	2
2494	YBL086c	2
2495	YDL167c	2
2496	YBL081w	2
2497	YFR051c	2
2498	YBL071c	2
2499	YPL193w	2
2500	YDR248c	2
2501	YDR377w	2
2502	YGL130w	2
2503	YDL085w	2
2504	YBL069w	2
2505	YBL067c	2
2506	YEL077c	2
2507	YBL059w	2
2508	YIL111w	2
2509	YBL056w	2
2510	YDL138w	2
2511	YGL137w	2
2512	YLR093c	2
2513	YMR314w	2
2514	YBR080c	2
2515	YDL087c	2
2516	YBL043w	2
2517	YDL088c	2
2518	YER021w	2
2519	YMR316c-b	2
2520	YDR077w	2
2521	YBL040c	2
2522	YBL039c	2
2523	YNL105w	2
2524	YDR267c	2
2525	YDL196w	2
2526	YBL033c	2
2527	YDL098c	2
2528	YBL032w	2
2529	YBL031w	2
2530	YOR244w	2
2531	YBR084c-a	2
2532	YOL102c	2
2533	YIL066c	2
2534	YMR270c	2
2535	YDL099w	2
2536	YLR154c	2
2537	YJR087w	2
2538	YDL121c	2
2539	YIL162w	2
2540	YJL075c	2
2541	YOR196c	2
2542	YDR086c	2
2543	YDR292c	2
2544	YKL154w	2
2545	YGL057c	2
2546	YJL025w	2
2547	YGR063c	2
2548	YJR144w	2
2549	YNL152w	2
2550	YBL002w	2
2551	YGR145w	2
2552	YER067w	2
2553	YAR066w	2
2554	YDR306c	2
2555	YAR061w	2
2556	YGR069w	2
2557	YAR033w	2
2558	YAR030c	2
2559	YAR027w	2
2560	YIL071c	2
2561	YJL153c	2
2562	YKR100c	2
2563	YPL170w	2
2564	YML101c	2
2565	YDR314c	2
2566	YOL154w	2
2567	YDR399w	2
2568	YER054c	2
2569	YAR009c	2
2570	YDR478w	2
2571	YDR542w	2
2572	YKR011c	2
2573	YLR267w	2
2574	YAL062w	2
2575	YNR036c	2
2576	YDR367w	2
2577	YDL129w	2
2578	YGR036c	2
2579	YGR146c	2
2580	YHL042w	2
2581	YLL033w	2
2582	YPR037c	2
2583	YKL197c	2
2584	YAL055w	2
2585	YDR326c	2
2586	YAL053w	2
2587	YMR182c	2
2588	YAL042w	2
2589	YOL093w	2
2590	YIL079c	2
2591	YLR224w	2
2592	YGR221c	2
2593	YDL106c	2
2594	YGL134w	2
2595	YER167w	2
2596	YMR305c	2
2597	YOR226c	2
2598	YGL033w	2
2599	YNR022c	2
2600	YPR004c	2
2601	YPL118w	2
2602	YMR260c	2
2603	YKL015w	2
2604	YAL028w	2
2605	YBR140c	2
2606	YGL132w	2
2607	YDL118w	2
2608	YAL020c	2
2609	YOR304w	2
2610	YPL091w	2
2611	YLR077w	2
2612	YMR295c	2
2613	YOR294w	2
2614	YGL133w	2
2615	YAL012w	2
2616	YGL100w	2
2617	YPR080w	2
2618	YDR348c	2
2619	YBR118w	2
2620	YDR362c	2
2621	YDR113c	2
2622	YGL263w	2
2623	Q0275	2
2624	Q0250	2
2625	YPR085c	2
2626	YPL157w	2
2627	YMR226c	2
2628	YPL065w	2
2629	YNL289w	2
2630	YNL246w	2
2631	YPL075w	2
2632	YPR190c	2
2633	YNL119w	2
